question	answer
n f	n f
d a m h	d o a n h
g o ố n g	g i ố n g
k h ù n g	k h ù n g
ạ n h	l ạ n h
h ạ i	t ạ i
y ô n	h ô n
c q o	c a o
j v	i v
n ã m q	l ã n g
h u i	m u i
t h w ợ n g	t h ư ợ n g
c ứ j	c ứ u
s p a	s p a
c h ơ l	c h ơ i
c h k ế n	c h i ế n
j e a n d	j e a n s
n u 0 0 n	l u ô n
q j á s	g i á c
t t ờ i	t h ờ i
t i m e s	t i m e s
b ẩ y	b ẩ y
i n	i n
j i v e n t u s	j u v e n t u s
đ ô n q	đ ô n g
c h i n h h h	c h i n h h h
p h ỏ n	p h ỏ n g
y o s h i	y o s h i
h a i z z z z	h a i z z z z
t r ộ n	t r ộ n
k h i n h	k h i n h
b i ê r n	b i ể n
m ỏ	m ỏ
b à n	b à n g
d i ễ m	d i ễ m
đ ô t	đ ộ t
c q ạ y	c h ạ y
t r ư ờ n f	t r ư ờ n g
t u ở n g	t ư ở n g
h a n g a r	h a n g a r
v o e w	v i e w
t ổ q q	t ổ n g
k n i ế n	k h i ế n
g i á i	g i á o
n ô n	n g ô n
l ò m g	l ò n g
c á n h	c á n h
b j 4 r r j t z	b i a r r i t z
c j ấ p	c h ấ p
b â t	b â y
đ ồ n r	đ ồ n g
i d	i d
g o j i	g ọ i
b n đ	b l đ
b a n y	b a b y
c m b r	c m b r
k y ă n	k h ă n
n ế k	n ế u
4 n q 3 n 4 b b y	a n g e l a b a b y
d d ị 4	đ ị a
t h ị n h	t h ị n h
c ở i	c ở i
t o c	t ó c
k h ô j q	k h ô n g
k á n	p h á n
i m a n o v	i m a n o v
r i s i e	r o s i e
m o b g	m o n g
y o u n n h u s b a n d	y o u n g h u s b a n d
b ô	b ộ
f h ủ	c h ủ
q h à n h	t h à n h
s i l i c o n	s i l i c o n
k h o a n	k h o a n
4 u 4 n	q u a n
N a m	v n
c a r v e r	c a r v e r
n o n e	n o n e
n h ệ m	n h i ệ m
t r ạ m g	t r ạ n g
c h i l l	c h i l l
u ì n h	h ì n h
n g h	n g h ệ
d u y e n	d u y e n
h e a t o n	h e a t o n
p h u m	p h u m
q ê n	q u ê n
t h a m	t h a m
g y ế	g h ế
i ể m	k i ể m
m ư ớ c	n ư ớ c
n ă n g	n ặ n g
k u y	h u y
m o n g	m o n g
c h ố n f	c h ố n g
q u ộ c	b u ộ c
x k n g	x u n g
n q h j ệ p	n g h i ệ p
i h i	k h i
t ừ	t ừ
n h	n h ã
m ã	m ã
t ầ j	t ầ m
q ô j	g ố i
y à n g	h à n g
c y b e r p r t	c y b e r p o r t
k á i	l á i
x 4	x ã
t h ứ x	t h ứ c
c z o	c a o
i ố n g	g i ố n g
n ế j	n ế u
m c h r y s t a l	m c c h r y s t a l
c h ả	c h ẳ n g
c ả n	c ả n h
a n a r	a n a r
l e v e l	l e v e l
m 3 s q j	m e s s i
k h ấ	k h ấ u
l ư ợ n b	l ư ợ n g
g i á l	g i á o
k b 0 ả n	k h o ả n
n ề	n ề
p e a r l	p e a r l
m ã g g	m ã n g
p a t c h w a l l	p a t c h w a l l
v n p o s t	v n p o s t
n j ữ n q	n h ữ n g
d ầ j	d ầ m
p h â x u	p h ẫ u
g h ư ơ n h	t h ư ơ n g
t a b	t a b
a p	a p
s p a r k	s p a r k
d o c k	d o c k
h o p	h ọ p
h i p	h i p
r n g	r ằ n g
s o s c	s ó c
b q	b a
t ỏ x	t ỏ a
t h ầ h	t h ầ u
t h ư ớ c	t h ư ớ c
c ỏ	c ỏ
n u ư ờ n g	n h ư ờ n g
p y ỏ n g	p h ỏ n g
c a p u c h i a	c a m p u c h i a
h s	h ọ c
n n ư ờ i	n g ư ờ i
n h ọ f	n h ọ c
t r ú n q	t r ú n g
đ ẹ	đ ẹ p
j ạ n	h ạ n
r j ộ n g	r u ộ n g
l e e n	l ê n
c g í	c h í
a m e r u c a	a m e r i c a
t â j	t â m
t u ệ t	t u y ệ t
c h u y ê q	c h u y ê n
h e o t r â n	h e o t r â n
e u r o w i n d o w	e u r o w i n d o w
n y u y ê n	n g u y ê n
t i ê n g	t i ế n g
s a n a	s a n a
v ụ	t ì m
k j ệ	h i ệ n
h ọ	m a n g
v ó	c ó
t t á i	t h á i
v ố q	v ố n
e ễ	d ễ
z 1 0 0 0	z 1 0 0 0
v ù n g	c ù n g
r a c h a	r a c h a
q ả n	s ả n
b j n h	b i n h
c o c a	c o c a
q i â n	q u â n
d à k	d à i
k q r d i a c h a i n	k a r d i a c h a i n
s ạ b	s ạ m
l h i m	p h i m
z p l a y e r	z p l a y e r
m 9	m 9
s ẫ m	s ẫ m
k ẹ 0	k ẹ o
t r o	t r ò
s o n g	s ô n g
n u ì n	n h ì n
t ă m g	t ă n g
p h ư ơ n g t r ú c	p h ư ơ n g t r ú c
e l i a s	e l i a s
s u ả	q u ả
t u ứ	t h ứ
t o	t ỏ
t j s n h	t í n h
y ạ i	t ạ i
n h ữ n y	n h ữ n g
s ư	s ự
u ộ n g	r u ộ n g
c á p	c á o
w i n h	s i n h
n g u y e n	n g u y e n
t a o	t a
k ế r	k ế t
k b á t	k h á t
v i ớ i	g i ớ i
k p à j	h o à i
đ ứ n g	đ ứ n g
n h ơ n	n h ơ n
c h u y ê n	c h u y ệ n
n a w n g	n ă n g
t ậ b	t ậ n
h à h	h à n h
i i n h	k i n h
à n	đ à n
n g u y e n t r a n g	n g u y e n t r a n g
d c m	d c m
n g u ờ i	n g ư ờ i
b o l k i n g e r	b o l l i n g e r
h g h ề	n g h ề
n o ặ c	h o ặ c
c h ặ h	c h ặ n
t h ấ h	t h ấ y
v â t	v ậ t
f ò n	c ò n
c ọ n g	c ọ n g
g i ả	g i ả
h á	h á
t h u y ê n	t h u y ê n
t u j ế n	t u y ế n
p z	p a
g ề m	m ề m
n q m ĩ 4	n g h ĩ a
s r	s c r
p n	p l
i ế n	t i ế n
s á y	s á t
v é t	v é t
k m 5 4	k m 5 4
k ạ q	h ạ n g
h ơ p	h ợ p
j ạ p	n ạ p
h ạ m g	h ạ n g
v ậ	v ậ y
s w u	s a u
n ộ 0	n ộ i
ư ớ i	c ư ớ i
f ả j	t ả i
đ l á n	đ o á n
h u a w f i	h u a w e i
0 5 p	0 5 p
k h o	k h o
n g u y e n d a n g	n g u y e n d a n g
đ ả h	đ ả m
s a i g o n	s a i g o n
n g h i e m	n g h i ê m
c n ủ	c h ủ
l o c k	b l o c k
c 0 n f 3 t t j	c o n f e t t i
0 ạ t	h o ạ t
s i h h	s i n h
k a s h o g g i	k h a s h o g g i
q u ậ b	q u ậ n
p h ư ơ n y	p h ư ơ n g
q u â j n	q u ậ n
l è o	l è o
d h ị u	c h ị u
k 4 y	t h a y
w o i f r a m	w o l f r a m
g a f	g à
q ó	q u á
m h i ề u	n h i ề u
a s i a d	a s i a d
t r i ệ k	t r i ệ u
l i n h h ạ n h	l i n h h ạ n h
a m b e r	a m b e r
b à y	n à y
ấ y	ấ y
d a v i e s	d a v i e s
p j ù	p h ù
k 0 n r	k o n g
t i n	t i ề n
t h	t h á n g
t i ả m	g i ả m
v ỗ	v ỗ
r ấ f	r ấ t
n g a n h	n g à n h
c o l r	c o l o r
x u â h	x u â n
t h i a g o	t h i a g o
ʚ ɞ	ʚ ɞ
n j ậ n	l u ậ n
k h ủ n n	k h ủ n g
t y u	t h u
g i a	g i ữ a
g r i ệ u	t r i ệ u
j h â n	n h â n
c h o n h	c h i n h
ú n g	s ú n g
g i ỏ i	g i ỏ i
h o u s t o n	h o u s t o n
q u 4 n q	q u a n g
n g h a	n g h ĩ a
k y k	k y o
j ì n h	m ì n h
b à	b à o
k ề n	n ề n
v i t	v i ệ t
h u	h ữ u
c â i	c â u
r i	r ố i
k j ể	h i ể u
ó i	n ó i
c h u t ê n	c h u y ê n
z a k h r o v a	z a k h a r o v a
m o j i	m ọ i
b ã i	h ã i
r á n h	t r á n h
t r ô s n g	t r ố n g
m ư ơ n	m ư ớ n
v ù	d ù
g i ấ s	g i ấ c
r i a	g i a
x u ấ t	x u ấ t
h ề	h ề
l g b t	l g b t
p 0 c h s t t j n 0	p o c h e t t i n o
p y i ê n	p h i ê n
g i á p	g i á o
y a m a h a	y a m a h a
t r ù n t	t r ù n g
m i c	m i c
b a l a n	b a l a n
p u ạ m	p h ạ m
k r z y s z t o f	k r z y s z t o f
n u s c	l ú c
m 4 u r j c j 0	m a u r i c i o
u b i t e d	u n i t e d
v ư ơ j n g	v ư ợ n g
4 v 3 n q 3 r s	a v e n g e r s
m à n q	h à n g
f á	c á
k ì n h	k ì n h
s ă s t	s ắ t
j i n h	k i n h
p h ò n y	p h ò n g
h à n	h o à n
đ ạ	đ ạ t
j ộ t	m ộ t
k o n	k h i
v i n f a s t	v i n f a s t
v n d	v n d
o ẹ t	k ẹ t
r ỗ	d ỗ
p h á i	p h á i
ấ t	t ấ t
4 n	á n
o i	c o i
h l á	h o á
b ắ s	b ắ c
r 0 q 3 r s	r o g e r s
s x d	s x d
t r ì n t	t r ì n h
t j ế c	t i ế c
f 3 s t j v 4 n	f e s t i v a l
j o n g	m o n g
d 0 w n n 0 4 d	d o w n l o a d
d 0 n b y	d o l b y
o i m k	l i n k
h à n g	h à n h
i ú p	g i ú p
k h o	k h o a
đ u ô j	đ u ô i
u i ệ u	h i ệ u
đ ơ	đ ơ n
đ j n h	đ i n h
v ạ n g	d ạ n g
g ò	g ò
c y o	c h o
j a i	h a i
u y	h y
n h ấ f	n h ấ t
c d n	c d n
e s o r t s	e s p o r t s
h h ớ t	t h ớ t
d â g	d â n
t h j	t h á i
á n	b á n
b u ổ j	b u ổ i
n f 0 à j	n g o à i
t m ẩ m	t h ẩ m
h ă n g	g ă n g
l à m	l à m
d ẹ t	d ẹ t
d e p p	d e p p
e x	e x
b á x	b á c
g e s k i n	g e s k i n
l j n h	l i n h
p h a p	p h á p
l ẫ g	l ẫ n
t i ế l	t i ế p
đ â h	đ â y
c m ư ơ n g	c h ư ơ n g
n ỗ i	m ỗ i
d d ấ u	đ ấ u
s i e e u	s i ê u
h a h a	h a h a
n ắ n g	n ắ n g
n a w m	n ă m
v ê t	v ế t
l ậ t	l u ậ t
n g ư ờ i	u n g
t r ồ n q	t r ồ n g
t o p i c	t o p i c
d d ư ợ x	đ ư ợ c
k k ệ n	k i ệ n
m 0 0 j	m ô i
h ồ n g	h ồ n g
n ắ n q	n ắ n g
i i ệ u	l i ệ u
b c	b á c
c n y	c n y
r â t	r ấ t
t u y e e n	t u y ê n
n h ư n m	n h ư n g
n 4 n	l a m
t r ư ờ n m	t r ư ờ n g
v ư ơ j g	v ư ơ n g
t h ẳ n n	t h ẳ n g
j n	t i n
n q ọ n	n g ọ n
a r r h u r	a r t h u r
m é o	m é o
h e f	h è
g u i	v u i
w i n d y	w i n d y
n g ọ c n g u y e n	n g ọ c n g u y e n
p h ò n v	p h ò n g
s e	s ẻ
t r ĩ u	t r ĩ u
c r i m e a	c r i m e a
l i g h t n i n g	l i g h t n i n g
a u s t r a l i a	a u s t r a l i a
b ì n n	b ì n h
t ụ c	t r ụ c
t r â q	t r â m
l u y ê j n	l u y ệ n
m k p 0	m o k p o
w o a n h	d o a n h
b ắ r	b ắ t
c ô n q	c ộ n g
đ ư ợ d	đ ư ợ c
s a p s	s a p a
t n ê u	t i ê u
đ ị	đ ị a
y ê u	y ê u
t ố n g	t ố n g
p o l y t e c h n i c	p o l y t e c h n i c
c 4 c b 0 n 4 t	c a c b o n a t
â m	ẩ m
f a c e b o k	f a c e b o o k
c n n	c n n
l ằ m	l ằ m
c ư ờ n	c ư ờ n g
s ư c	s ứ c
s 0 c	s o c
g o e n	g i e n
n h a a	n h a
p p p	p p p
b ậ t	b ậ t
k h y ế n	k h u y ế n
b o s s a p k	b o s s a p k
đ 4 m	đ a m
c ừ a	v ừ a
d ự g	d ự n g
c a r c h	c a t c h
b a o	b â y
t r ơ	t r ợ
b j ệ	b i ệ n
s ắ	s ắ c
t i m o	t i m o
c u ố n	c u ố n
n h i ệ m	n h i ệ m
n g a n	n g a n
k n e t	k n e t
j ạ j	m ạ i
l ự q	l ự a
t ô b	t ô m
f 0 à n	t o à n
đ ể	l ầ y
ớ i	m ớ i
l í n h	l í n h
j à n	m à n
k i ê s n	k i ế n
e p a	e p a
n j j p 0 p 0	l i m p o p o
t h ư ơ n y	t h ư ơ n g
t h a s p	t h á p
l a g	l à
đ a g g	đ a n g
v ừ a	v ừ a
g h ệ	n g h ệ
t ụ f	t ụ c
ô n	t ô n
t r ạ n r	t r ạ n g
6 0 g	6 0 g b
x á m	x á m
p h ạ h	p h ạ m
g r e y	g r e y
m é n	m é n
v i n g	v i n h
h è o	c h è o
d o i	d õ i
b ồ n	b u ồ n
u n g	u n g
k j ế j	k i ế n
t h ầ y	t h ầ y
k j y	h u y
đ a o	đ ạ o
l u â n	l u ậ n
d d ạ t	đ ạ t
p h u j c	p h ụ c
m ã j	m ã i
c h i ê u	c h i ề u
m a n c h e q t e r	m a n c h e s t e r
e v n	e v n
f r ư ớ c	t r ư ớ c
r e n t	r e n t
n j ô i	n u ô i
h ừ	t ừ
l o g v l t e	l o g v o t e
c ầ k	c ầ u
h k e n	h i e n
ủ t	ủ y
g ự	t ự
ề n	n ề n
k k ế n	k i ế n
n g à n	n g à n
b â s t	b ấ t
đ ã i	đ ã i
i u	y ê u
đ ế n	ô
đ ĩ a	đ ĩ a
t m ắ p	t h ắ p
p a s s	p a s s
k ế h	k ế t
a n d r e s	a n d r é
h ê	h ê
b ú t	h ú t
c h n g	c u n g
t ố u	t ố i
s ố	s ố
t r i ệ u	t r i ệ u
ư ơ n g	ư ơ n g
b i w	b i a
n o ê m	n i ê m
n ạ j	n ạ i
s a a n	s â n
h g o à i	n g o à i
t h ư n	t h ư ơ n g
u a	c u a
t ú	t r ú
k h c h	k h á c h
n 0 v 4 t 0 r	n o v a t o r
t k ể u	t i ể u
đ 4 j j	đ ạ i
n m ó n	n g ó n
h ọ f	h ọ c
h è m m m	h è m
v ò n m	v ò n g
h i	k h i
n q à n h	n g à n h
p h a a n	p h â n
k 3 n q t 0 n q	h e n g t o n g
đ ô j	đ ộ
s h ạ y	c h ạ y
h i t c h c o c k	h i t c h c o c k
f o n t	f o n t
m t p	m t p
t t i ể n	t r i ể n
t h i ệ b	t h i ệ n
t o t t e n h a m	t o t t e n h a m
e 1 0 0	e 1 0 0
n 0 f n q	l ò n g
t ò q q	t ò n g
b a j c	b ạ c
n u ố n g	h u ố n g
h ậ j	h ậ u
f ạ t	g ạ t
s h ặ n g	c h ặ n g
p o d u c e r	p r o d u c e r
t t ấ p	t h ấ p
j o h a n	j o h a n
s h 4 4 f j	s h a a b i
l i v e r p o l	l i v e r p o o l
t n ầ u	t h ầ u
v i n a m i o k	v i n a m i l k
n g h i ê n g	n g h i ê n g
t ớ i	k h á c h
đ a a y	đ â y
b ồ i	b ồ i
k ạ q h	h ạ n h
g g o á i	n g o á i
d 0 n n 4 r u m m 4	d o n n a r u m m a
c h i a	c h i a
n õ j	l õ i
đ ạ n	đ ạ o
q r ư ở n q	t r ư ở n g
x ấ	x ấ u
g i ờ	h ộ
v ư ơ h	v ư ơ n
t ì j h	t ì n h
ó c	ó c
g i o	g i ờ
t i ệ m	t i ệ n
b n e v e n t o	b e n e v e n t o
l ạ o	l ạ i
d 4 n u	d a n h
p h ú d	p h ú c
b g u y ê n	n g u y ê n
k h u s c	k h ú c
h ê	h ề
n 0 ạ r	l o ạ t
ổ n g	t ổ n g
l ạ b	l ạ m
c ộ g	c ộ n g
m i s z	m i s s
g o s i	g ó i
z h a	z a h a
d ơ n	đ ơ n
n g i ê n	n g i ê n
c a r l o	c a r l o
h ế p	h i ế p
đ j 4	đ ị a
n g i ệ p	n g h i ệ p
v i e t s y o c k f i n a n c e	v i e t s t o c k f i n a n c e
b n g	b ằ n g
l o p	p o p
n g y y ễ n	n g u y ễ n
k h o n	k h o ả n
c h o ế c	c h i ế c
ừ n g	đ ừ n g
t ă n r	t ă n g
w 3 b	w e b
ụ c	d ụ c
b r e a k e r	b r e a k e r
m ì n n	m ì n h
đ n g	đ á n g
h ã n g	h ã n g
s a l	s a o
u s	u s
3 ở	s ở
k 4 n h	h à n h
á i	l á i
l â p	l ậ p
d ộ n g	đ ộ n g
p h ầ b	p h ầ n
g a y	g a y
c h j 4	c h i a
n f à y	n g à y
g h u ậ t	t h u ậ t
m 0 b q	m o n g
k o o l	k o o l
c u ồ n	c u ồ n
v l d e o	v i d e o
đ ư ợ c	đ ố c
t u	t ư
f r ê n	t r ê n
l u	l y
x ư n g	x ư n g
l a c h i n o g l u	l a c h i n o g l u
v 3	v 3
e c o m m e n d z p l a y e r	r e c o m m e n d z p l a y e r
c h ó j	c h ó i
g á c	g á c
k j ế n	c h i ế n
t u s c a n y	t u s c a n y
z 3 4 n q n d	z e a l a n d
r i ê n	t i ê n
t r ư ờ n t	t r ư ờ n g
x ô n g	c ô n g
d a i	d à i
c m o	c h o
đ ó n t	đ ó n g
c õ i	c õ i
m ả i	m à y
c h o n g	c h ó n g
s h ù 4	c h ù a
d h j ế c	c h i ế c
n g á n	n g á n
q u	q u á
m ừ n g	m ừ n g
r ă m	t r ă m
p h á	p h á p
r ô x n g	r ỗ n g
g ạ c h	g ạ c h
r â j p	r ậ p
à n q	h à n g
t t ự c	t r ự c
g r í	t r í
w u á	q u á
l o ă n g	l o ă n g
p l a	p l a
t r ư ờ n g	t r ư ờ n g
p o c k e t	p o c k e t
n h a r y	n h ả y
m a s a m i	m a s a m i
j u l i e n	j u l i e n
c o u t i n h o	c o u t i n h o
a i r e s	a i r e s
l i n k	l i n k
v i ê m	v i ê n
h ã g g	h ã n g
n à h	n à y
k 4 n c h 4 n 4 b u r j	k a n c h a n a b u r i
v o a n h	d o a n h
n q h j ê j m	n g h i ệ m
s m 4 r t p n 0 n 3	s m a r t p h o n e
n h ì h	n h ì n
f l s h	f l a s h
b u n g	b u n g
r j ê n q	r i ê n g
l i	l ợ i
p h n q	p h ò n g
l i e n	l i ê n
m y a	m u a
h ộ c	h ộ c
r n	r ă n
n ơ n	h ơ n
t r a d f o r d	t r a f f o r d
v 1 5	v 1 5
y ạ t	h ạ t
s t e w a d t	s t e w a r t
t r 4 r	t r ả
h ạ o	t ạ o
c h u u ê n	c h u y ê n
t h ù n	t h ù n g
x u ấ r	x u ấ t
k é p	p h é p
c ộ t	c ộ t
i x	i x
s a k	s a o
k h o ả n h	k h o ả n h
x ó m	x ó m
t r	t r ò
b ă t	b ặ t
t y á n g	t h á n g
t 1	t 1
t ừ a	t ừ a
c o c k t a i l	c o c k t a i l
t j ô n g	t h ô n g
c h ấ g	c h ấ n
n ở	n ở
p y t h o n	p y t h o n
h ó w	h ó a
k 3 0	t h e o
đ ừ n q	đ ừ n g
à h	à
h o ạ v h	h o ạ c h
v ư ơ f n	v ư ờ n
p m ư ơ n g	p h ư ơ n g
d i	d ĩ
2 0 0 m	2 0 0 m
n g k ặ t	n g o ặ t
ả n	ả n h
n g u y ễ g	n g u y ễ n
d a k i r i a n	d a l i r i a n
k u ỉ	k h ỉ
l h o t o c o p y	p h o t o c o p y
l ặ n g	l ặ n g
t ơ n	t r ơ n
v á o	b á o
đ ộ j g	đ ộ n g
e ồ i	r ồ i
c h i	c h i a
t n ỏ a	t h ỏ a
u ộ c	b u ộ c
t h o a đ à o	t h o a đ à o
m e s s s g e s	m e s s a g e s
r e s l	r e a l
n q h j ê m	n g h i ệ m
đ ê f n	đ ề n
j o n f s	j o n e s
ô b g	ô n g
n ổ 0	n ổ i
c m 0	c h o
n s m	n a m
p h e e	p h ê
c p n	c o n
l u ô n g g	l u ô n
c g i ề u	c h i ề u
y ấ n	t ấ n
c k a s s	c l a s s
t h j ê r u	t h i ể u
c h í n y	c h í n h
c ắ n	c ắ n
d a n	d à n
b ớ i	b ớ i
h ì n u	h ì n h
h a n	h a n
m h ữ n g	n h ữ n g
b a y e r n	b a y e r n
v i á	g i á
n m h i ê m	n g h i ê m
h o a j t	h o ạ t
p u h	p u s h
v u f n g	v ù n g
k h ô g g	k h ô n g
v o	v à o
k ệ	h ệ
h i ệ m	h i ệ n
g ì n h	h ì n h
t h ế	t h ế
g à	g à
n g h j ệ p	n g h i ệ p
n u â n	n h â n
c h e v r o l e t	c h e v r o l e t
v i ê j t	v i ệ t
c n	c ă n
k h á x h	k h á c h
h e a d	h e a d
m q à y	n g à y
m é c	m á c h
u c	u c
c o s t a	c o s t a
k i n g	k i n h
g i á l	g i á p
t t t t t	t a o
c h a d	c h a d
n h ư g	n h ư n g
s h a l a l a	s h a l a l a
r ộ n q	r ộ n g
b ê	b ê n
s ư j	s ự
m o n h	m i n h
s ư ờ n q	c ư ờ n g
c 0 n t 0 n u 3	c o n t i n u e
g r ư ợ t	t r ư ợ t
d ư ỡ n	d ư ỡ n g
a y	m a y
h o e	h o m e
t a o	t ô i
k u 0	k h o
x m	a m
k t ú c	k h ú c
đ i	đ i
m a x w e l l	m a x w e l l
b o o m	b o o m
q u n	q u a n
k j n	k u n
b o e i n v	b o e i n g
m j f n h	m ì n h
n h á p	n h á p
n g u y e n	n g u y ê n
o ạ c h	h o ạ c h
f á c	t á c
c o l o s b z b y	c o l o s b a b y
d p r	d p r
t r ắ m	t r ắ m
b x h	b x h
t r i ề u	t r i ề u
n ơ i	n ơ i
m j n	m i n i
đ ô n g	đ ồ n g
y r j ệ	t r i ệ u
đ â i	đ â u
t h ừ s	t h ừ a
t c b s	t c b s
l ự c	l ự c
s u g a	s u g a
o n t i n u e	c o n t i n u e
b ù j	b ù i
c à j g	c à n g
g ô i	t ô i
v n h	v i n h
m ã q	m ã n g
n t ừ	n g ừ
b á n	b á m
x ả o	x ả o
â n	c â n
v i ễ n	v i ễ n
l ờ i	l ờ i
b r	b r
d ô	d ô
t r ì n j	t r ì n h
d ự a	d ự a
c y ụ c	c h ụ c
t ú n q	t ú n g
q y 0	g a y o
m j ề n	m i ề n
n h ó	n h ó m
b a j i	b ạ i
x ử 4	c ử a
c m i	c h i
d ị	d ị
b r u s s e l s	b r u s s e l s
x a n g	x a n h
t ị c h	t ị c h
c h ấ n	c h ấ n
b a n g	m a n g
p a p a r a z z i	p a p a r a z z i
ò a	h ò a
f r 3 3	f r e e
n ứ c	n ứ c
r a p	r a p
n q h 0 ệ p	n g h i ệ p
h a l	h a i
h p à n	h o à n
t h m	t h ê m
k đ q t	h đ q t
h ỏ n t	h ỏ n g
v l ê n	v i ê n
m u n d 0	m u n d o
2 g	2 g
n u ố n	m u ố n
k 3 n s j n k j	h e l s i n k i
n ư ơ j t	l ư ợ t
t t u ậ n	t h u ậ n
y 9	y 9
k h o a	k h o a
c h n g	c h ẳ n g
đ ắ	đ ắ c
n ò	n ò
b u r a t i a	b u r y a t i a
c ủ	c ủ a
u y ê n	u y ê n
a ắ p	s ắ p
n ặ n q	n ặ n g
n g y	n g a y
h ọ v	h ọ c
s j n u	s i n h
b g a n g	n g a n g
a u t o	a u t o
g i ù m	g i ù m
s i j h	s i n h
p v e p	p v e p
n h a j	n h a n
p o s t	p o s t
a t l e t i c o	a t l e t i c o
t e r	t e r
m 0 s u n	m o s u l
x u ố i	c u ố i
n h	n h ở
đ u ổ j	đ u ổ i
b i ệ y	b i ệ t
n i c	n i c
n ế	n ế u
q h 4 n	q u a n
g e t a f e	g e t a f e
c n i ề u	c h i ề u
m ă j c	m ặ c
h ữ a	c h ữ a
l o n g	l ô n g
c h ứ v	c h ứ c
x o o n g	x o o n g
m s i c	m u s i c
s á h g	s á n g
đ ã j	đ ã i
p ỏ n g	l ỏ n g
p h á 0	p h á p
ả o	ả o
n n q	n ă n g
w a y n e	w a y n e
h h u ộ c	t h u ộ c
v a w n	v ă n
n g à b	n g à n
4 n q	m a n g
k ỏ k	h ỏ i
r ố u	r ố i
s ụ c	d ụ c
n h ẹ n	n h ẹ n
f o m	f o r m
m g à y	n g à y
f i t n e s s	f i t n e s s
b 4 r n	b ả n
m ạ s h	m ạ c h
k b ả 0	k h ả o
n g â f m	n g ầ m
t h j ê t	t h i ế t
s i ê	s i ê u
p í a	p h í a
k ư ở b q	h ư ở n g
x h 0	c h o
n 3	l ê
k h ỏ	k h ỏ e
p h ó n q	p h ó n g
t ấ j	t ấ m
s u v	s u v
b é t	b é t
đ h đ	đ h đ
t h ậ p	t h ậ p
v i e w	v i e w
h a	h ó a
3 t h j 0 p j 4 n	e t h i o p i a n
b ổ n	b ả n
p p j	p p i
k y u y ế t	k h u y ế t
o h ỏ e	k h ỏ e
f i a	g i a
t n u ế	t h u ế
h ó m	n h ó m
i n d o n e s i a	i n d o n e s i a
s z n q	s a n g
n f h j ê m	n g h i ê m
t c h c o m b a n k	t e c h c o m b a n k
c h o	c ả
ô i	n ô i
c ấ g	c ấ m
h o	h ò
s á	s á u
n h ơ	n h ơ n
l ụ	l ụ c
f h ư ơ n q	t h ư ơ n g
t u y ê h	t u y ê n
n h ư c	n h ứ c
k ỷ	t ỷ
h â n	h ậ n
p h ủ	p h ủ
j í n h	k í n h
r i e e n g	r i ê n g
l j ê u	l i ê u
h a	c h a
n g h ỉ m	n g h ỉ m
a u r o r a	a u r o r a
t i ệ g	t i ệ n
v u j	v ụ
t r	t r ờ i
c a b a d a	c a n a d a
s h o p	s h o p
t a m	t â m
k i ệ j	k i ệ n
6 s	6 s
a l e x a n d r i a	a l e x a n d r i a
b ẫ n	v ẫ n
j r 4 n	i r a n
n q ô j	n g ô i
y ạ n h	h ạ n h
0 h ô n q	k h ô n g
ặ n g	n ặ n g
c ự i	c ự u
n ơ k	n ơ i
c h o á n	c h o á n g
o á n h	o á n h
s t a r t u p	s t a r t u p
t h a i	t h ả i
c h x h c n	c h x h c n
đ ộ u	đ ộ i
n g u y ê f n	n g u y ề n
c u ứ n q	c h ứ n g
l ộ	l ộ
t h ù y	t h ù y
d n	d n
c o n c e r t	c o n c e r t
m i t	m í t
t m	t ấ m
x o n t e n t	c o n t e n t
n i c o	n i c k
h k l l i s	h o l l i s
n j q z	l i g a
b u i l	b u i l d
r ì m	t ì m
h à o	h à o
r à i	t à i
x h o	c h o
g ệ	h ệ
t ớ j	t ớ i
s h i ế n	c h i ế n
a m	â m
u n g	c u n g
d 4 n q	đ a n g
b ò i	b u ồ i
e ố	s ố
n ư c	n ư ớ c
đ ạ h	đ ạ t
d ằ n g	đ ằ n g
a f b	a f b
b ắ	b ắ c
q ả	q ả
m ư ờ n g	m ư ờ n g
t h ư ợ t	t h ư ợ t
n g ậ m	n g ậ m
s o u r c e s	s o u r c e s
s m a r t p u o n e	s m a r t p h o n e
n 4 n q	l ă n g
m a r i e	m a r i e
b i m a	b i m a
s a n h	s á n h
k h a m	k h á m
t i n	t i n
t r ụ c	t r ụ c
ồ m	g ồ m
g i i	g i ả i
n ố n	n ố n
n a t a l e g a w a	n a t a l e g a w a
p m 2	p m 2
n g a i	n g ạ i
c g ủ	c h ủ
t r ả u	t r ả i
p h â n	p h â n
m ù n g	m ù n g
l o á n g	l o á n g
v i n	v i ễ n
f 4 n	f a n
c á c	c á c
q j á p	g i á p
b ằ b g	b ằ n g
c á n q	d á n g
h t t p	h t t p
m a r t i n	m a r t i n
b à n g	h à n g
m y a w a k i	m i y a w a k i
m ì n b	m ì n h
d d e m	đ e m
l i n g	l o n g
j i h j o	j i h y o
w u à	q u à
m ạ c	m ạ c
l i n j	l i n h
y ê n	n h i ê n
t r â f m	t r ầ m
n ê p	n ế p
t ô t h ả o	t ô t h ả o
k h á s h	k h á c h
h h u ế	t h u ế
k h ô n n	k h ô n g
l ô f i	l ồ i
c ử	x ử
m a n f h e s t e r	m a n c h e s t e r
h ờ i	m ờ i
p q n a m a	p a n a m a
t h i ế	t h i ế t
m â y	m ấ y
